OP_Name,Instance,Status,ColorTime,LabellingTime,UsingMIP,UsingPolyColors,Notes,TotalTime,Solution
"OP(19,10,10)",0,Solved,"0,4027","0,1100",false,false,,"0,5337","(\infty, (1,1), (2,1), (10,2), (4,1), (4,2), (6,1), (8,2), (7,1), (13,1), (1,2), (16,2), (11,2), (18,2), (8,1), (17,1), (10,1), (18,1), (2,2)) ((0,2), (15,1), (12,2), (9,2), (14,1), (9,1), (5,1), (3,1), (0,1), (13,2)) ((15,2), (17,2), (12,1), (5,2), (14,2), (3,2), (11,1), (7,2), (6,2), (16,1)) "
"OP(19,10,7,3)",0,Solved,"0,4027","0,0630",false,false,,"0,4852","(\infty, (16,1), (10,1), (18,2), (2,1), (16,2), (11,1), (15,2), (12,1), (14,1), (13,2), (14,2), (10,2), (3,2), (3,1), (6,1), (5,1), (17,1), (4,2)) ((1,2), (7,1), (9,2), (12,2), (0,1), (15,1), (4,1), (13,1), (18,1), (6,2)) ((11,2), (0,2), (8,1), (17,2), (8,2), (2,2), (1,1)) ((5,2), (7,2), (9,1)) "
"OP(19,10,6,4)",0,Solved,"0,3355","0,0940",false,false,,"0,5425","(\infty, (2,1), (3,1), (0,2), (4,1), (2,2), (0,1), (5,2), (5,1), (8,1), (1,2), (4,2), (13,2), (8,2), (14,1), (17,2), (7,1), (9,1), (16,2)) ((11,1), (16,1), (6,2), (18,2), (10,1), (1,1), (13,1), (17,1), (6,1), (12,2)) ((9,2), (7,2), (15,1), (10,2), (14,2), (15,2)) ((12,1), (11,2), (3,2), (18,1)) "
"OP(19,10,5,5)",0,Solved,"0,4027","0,1570",false,false,,"0,5924","(\infty, (8,1), (0,1), (4,2), (1,1), (14,2), (13,1), (6,2), (10,1), (17,1), (9,2), (15,2), (0,2), (3,2), (4,1), (7,1), (11,1), (16,1), (13,2)) ((10,2), (12,1), (12,2), (17,2), (9,1), (15,1), (6,1), (5,1), (3,1), (8,2)) ((7,2), (16,2), (2,1), (11,2), (18,2)) ((5,2), (14,1), (2,2), (1,2), (18,1)) "
"OP(19,10,4,3,3)",0,Solved,"0,4027","0,0940",false,false,,"0,5334","(\infty, (3,1), (4,1), (9,2), (9,1), (1,2), (0,1), (6,2), (12,1), (2,1), (12,2), (16,2), (13,2), (7,2), (14,1), (10,1), (7,1), (5,1), (4,2)) ((8,2), (13,1), (10,2), (2,2), (18,1), (11,1), (17,1), (6,1), (1,1), (3,2)) ((18,2), (0,2), (15,1), (11,2)) ((15,2), (17,2), (8,1)) ((5,2), (14,2), (16,1)) "
"OP(19,9,8,3)",0,Solved,"0,4027","0,0470",false,false,,"0,4696","(\infty, (18,1), (9,1), (14,2), (0,1), (2,2), (3,1), (1,2), (1,1), (7,1), (15,2), (0,2), (11,2), (18,2), (11,1), (8,2), (5,1), (10,1), (4,2)) ((13,1), (2,1), (17,2), (16,2), (4,1), (8,1), (15,1), (14,1), (16,1)) ((10,2), (5,2), (7,2), (17,1), (9,2), (6,2), (12,2), (6,1)) ((3,2), (13,2), (12,1)) "
"OP(19,9,7,4)",0,Solved,"0,4027","0,0620",false,false,,"0,4878","(\infty, (0,1), (1,1), (1,2), (2,1), (4,2), (3,1), (6,2), (14,1), (4,1), (6,1), (18,2), (8,2), (10,2), (5,1), (15,2), (7,1), (10,1), (0,2)) ((5,2), (8,1), (12,2), (11,2), (13,1), (17,1), (9,1), (16,1), (11,1)) ((13,2), (16,2), (2,2), (15,1), (3,2), (9,2), (17,2)) ((12,1), (7,2), (14,2), (18,1)) "
"OP(19,9,6,5)",0,Solved,"0,4027","0,0470",false,false,,"0,4729","(\infty, (0,1), (1,1), (3,2), (3,1), (4,2), (17,1), (6,2), (16,1), (11,1), (7,2), (10,2), (14,2), (8,2), (14,1), (11,2), (13,1), (10,1), (15,2)) ((7,1), (18,1), (9,2), (17,2), (6,1), (12,1), (8,1), (15,1), (5,1)) ((2,2), (0,2), (1,2), (2,1), (5,2), (12,2)) ((16,2), (9,1), (13,2), (18,2), (4,1)) "
"OP(19,9,5,3,3)",0,Solved,"0,4027","0,1880",false,false,,"0,6200","(\infty, (13,1), (0,1), (15,2), (8,1), (8,2), (4,1), (12,2), (18,1), (16,1), (18,2), (3,2), (5,2), (6,2), (7,1), (10,2), (9,1), (17,1), (14,2)) ((6,1), (5,1), (17,2), (11,2), (1,1), (11,1), (15,1), (10,1), (3,1)) ((16,2), (13,2), (4,2), (12,1), (2,2)) ((1,2), (9,2), (14,1)) ((0,2), (7,2), (2,1)) "
"OP(19,9,4,4,3)",0,Solved,"0,4027","0,2190",false,false,,"0,6494","(\infty, (8,1), (18,1), (0,2), (9,1), (9,2), (10,1), (4,2), (1,1), (17,1), (6,2), (16,2), (14,2), (13,2), (11,1), (8,2), (2,1), (3,1), (15,2)) ((6,1), (14,1), (2,2), (18,2), (4,1), (0,1), (5,1), (7,1), (13,1)) ((10,2), (3,2), (17,2), (12,1)) ((5,2), (11,2), (7,2), (15,1)) ((1,2), (12,2), (16,1)) "
"OP(19,8,8,4)",0,Solved,"0,4027","0,1090",false,false,,"0,5338","(\infty, (1,1), (2,1), (0,2), (3,1), (3,2), (4,1), (8,2), (5,1), (7,1), (16,2), (15,2), (6,2), (11,2), (6,1), (14,2), (8,1), (12,1), (4,2)) ((10,1), (16,1), (7,2), (9,2), (13,1), (18,1), (9,1), (17,1)) ((0,1), (1,2), (13,2), (17,2), (15,1), (10,2), (18,2), (12,2)) ((11,1), (5,2), (2,2), (14,1)) "
"OP(19,8,7,5)",0,Solved,"0,4027","0,3280",false,false,,"0,7465","(\infty, (2,1), (3,1), (9,2), (9,1), (18,1), (12,1), (5,2), (16,1), (14,1), (6,2), (14,2), (15,2), (1,2), (5,1), (2,2), (4,1), (7,1), (12,2)) ((8,2), (13,1), (17,2), (8,1), (0,1), (15,1), (10,1), (17,1)) ((1,1), (3,2), (16,2), (7,2), (6,1), (0,2), (4,2)) ((10,2), (13,2), (11,2), (18,2), (11,1)) "
"OP(19,8,6,6)",0,Solved,"0,4027","0,0630",false,false,,"0,4959","(\infty, (8,1), (6,1), (3,1), (10,1), (7,2), (11,1), (9,2), (1,1), (12,1), (12,2), (10,2), (15,2), (0,2), (16,1), (4,2), (9,1), (5,1), (18,2)) ((16,2), (17,1), (3,2), (6,2), (2,1), (7,1), (13,1), (4,1)) ((18,1), (8,2), (17,2), (11,2), (0,1), (1,2)) ((15,1), (2,2), (14,2), (13,2), (5,2), (14,1)) "
"OP(19,8,6,3,3)",0,Solved,"0,4027","0,1090",false,false,,"0,5394","(\infty, (4,1), (18,1), (9,1), (8,1), (0,2), (15,1), (1,2), (7,1), (0,1), (2,2), (14,2), (3,2), (18,2), (12,1), (13,2), (13,1), (2,1), (11,2)) ((8,2), (11,1), (5,1), (4,2), (1,1), (3,1), (6,1), (10,1)) ((14,1), (10,2), (16,2), (7,2), (16,1), (9,2)) ((12,2), (15,2), (17,2)) ((6,2), (5,2), (17,1)) "
"OP(19,8,5,4,3)",0,Solved,"0,4027","0,1100",false,false,,"0,5408","(\infty, (14,1), (7,1), (15,2), (9,1), (6,2), (5,1), (16,2), (12,1), (4,1), (14,2), (12,2), (11,2), (1,2), (3,1), (8,2), (6,1), (10,1), (5,2)) ((11,1), (2,1), (2,2), (18,2), (15,1), (13,1), (18,1), (17,1)) ((16,1), (10,2), (3,2), (7,2), (0,1)) ((17,2), (9,2), (4,2), (8,1)) ((13,2), (0,2), (1,1)) "
"OP(19,8,4,4,4)",0,Solved,"0,4027","0,2190",false,false,,"0,6595","(\infty, (4,1), (5,1), (0,2), (8,1), (1,2), (3,1), (2,2), (12,1), (0,1), (13,2), (3,2), (18,2), (4,2), (17,1), (5,2), (16,1), (7,1), (12,2)) ((11,1), (9,1), (6,2), (17,2), (2,1), (18,1), (10,1), (15,1)) ((13,1), (15,2), (9,2), (16,2)) ((6,1), (7,2), (8,2), (10,2)) ((1,1), (11,2), (14,2), (14,1)) "
"OP(19,8,3,3,3,3)",0,Solved,"0,4027","0,3590",false,false,,"0,7890","(\infty, (6,1), (13,1), (16,1), (8,1), (9,2), (0,1), (13,2), (10,1), (4,1), (8,2), (10,2), (6,2), (15,2), (3,1), (11,2), (9,1), (7,1), (5,2)) ((4,2), (5,1), (0,2), (12,2), (2,1), (12,1), (17,1), (18,1)) ((11,1), (3,2), (15,1)) ((1,2), (14,1), (14,2)) ((18,2), (2,2), (7,2)) ((16,2), (17,2), (1,1)) "
"OP(19,7,7,6)",0,Solved,"0,4027","0,0620",false,false,,"0,5064","(\infty, (0,1), (1,1), (3,1), (6,1), (1,2), (2,1), (3,2), (14,1), (4,1), (4,2), (13,2), (12,2), (7,2), (5,1), (10,2), (7,1), (12,1), (0,2)) ((14,2), (8,1), (17,2), (5,2), (13,1), (9,1), (16,1)) ((10,1), (18,1), (11,2), (15,2), (9,2), (15,1), (6,2)) ((11,1), (8,2), (16,2), (18,2), (2,2), (17,1)) "
"OP(19,7,7,3,3)",0,Solved,"0,4027","0,2340",false,false,,"0,6740","(\infty, (3,1), (9,1), (1,1), (10,1), (3,2), (6,1), (6,2), (5,1), (7,1), (2,2), (7,2), (16,2), (9,2), (11,1), (5,2), (2,1), (14,1), (18,2)) ((0,2), (12,1), (15,1), (4,2), (13,1), (18,1), (17,1)) ((0,1), (4,1), (10,2), (11,2), (8,2), (16,1), (15,2)) ((1,2), (12,2), (14,2)) ((13,2), (17,2), (8,1)) "
"OP(19,7,6,4,3)",0,Solved,"0,4027","0,2030",false,false,,"0,6385","(\infty, (15,1), (16,1), (8,2), (0,1), (16,2), (12,1), (6,2), (18,1), (10,1), (13,2), (14,2), (7,2), (10,2), (4,1), (3,2), (8,1), (14,1), (5,2)) ((11,1), (1,1), (1,2), (12,2), (7,1), (9,1), (6,1)) ((17,1), (13,1), (15,2), (2,2), (17,2), (5,1)) ((0,2), (9,2), (11,2), (2,1)) ((18,2), (4,2), (3,1)) "
"OP(19,7,5,5,3)",0,Solved,"0,4027","0,2810",false,false,,"0,7116","(\infty, (4,1), (5,1), (2,2), (13,1), (8,2), (1,1), (10,2), (12,1), (0,1), (4,2), (13,2), (5,2), (3,2), (2,1), (7,2), (7,1), (9,1), (0,2)) ((16,1), (6,1), (17,2), (1,2), (17,1), (11,1), (8,1)) ((10,1), (15,1), (14,2), (18,2), (6,2)) ((14,1), (16,2), (11,2), (12,2), (18,1)) ((9,2), (15,2), (3,1)) "
"OP(19,7,5,4,4)",0,Solved,"0,4698","0,3120",false,false,,"0,7457","(\infty, (0,1), (1,1), (1,2), (3,1), (2,2), (6,1), (3,2), (15,1), (13,1), (6,2), (7,2), (9,2), (12,2), (2,1), (15,2), (7,1), (11,1), (17,2)) ((9,1), (16,1), (11,2), (4,2), (18,1), (12,1), (17,1)) ((4,1), (14,1), (18,2), (14,2), (5,2)) ((10,1), (0,2), (8,2), (13,2)) ((8,1), (10,2), (16,2), (5,1)) "
"OP(19,7,4,3,3,3)",0,Solved,"0,4027","0,2030",false,false,,"0,6391","(\infty, (17,1), (11,1), (15,1), (3,1), (13,2), (13,1), (17,2), (0,1), (16,1), (11,2), (9,2), (2,2), (6,2), (5,1), (12,2), (9,1), (18,1), (5,2)) ((16,2), (1,1), (14,2), (1,2), (2,1), (7,1), (8,1)) ((12,1), (10,1), (15,2), (4,1)) ((8,2), (6,1), (3,2)) ((18,2), (0,2), (10,2)) ((7,2), (4,2), (14,1)) "
"OP(19,6,6,5,3)",0,Solved,"0,4027","0,0630",false,false,,"0,4933","(\infty, (18,1), (5,1), (5,2), (3,1), (1,2), (14,1), (8,2), (13,1), (17,1), (3,2), (12,2), (15,2), (7,2), (4,1), (13,2), (6,1), (9,1), (6,2)) ((11,1), (2,1), (17,2), (4,2), (15,1), (16,1)) ((0,1), (8,1), (1,1), (2,2), (14,2), (10,2)) ((12,1), (16,2), (11,2), (9,2), (10,1)) ((18,2), (0,2), (7,1)) "
"OP(19,6,6,4,4)",0,Solved,"0,4027","0,1570",false,false,,"0,5821","(\infty, (15,1), (13,1), (3,2), (3,1), (0,2), (6,1), (2,2), (17,1), (5,1), (4,2), (6,2), (14,2), (5,2), (0,1), (11,2), (1,1), (14,1), (1,2)) ((2,1), (7,1), (9,2), (15,2), (8,1), (11,1)) ((9,1), (10,1), (18,1), (7,2), (8,2), (12,2)) ((4,1), (16,2), (13,2), (18,2)) ((16,1), (17,2), (10,2), (12,1)) "
"OP(19,6,5,5,4)",0,Solved,"0,4027","0,1090",false,false,,"0,5297","(\infty, (5,1), (7,1), (6,2), (18,1), (0,2), (17,1), (3,2), (0,1), (15,1), (2,2), (12,2), (14,2), (17,2), (3,1), (11,2), (11,1), (12,1), (9,2)) ((6,1), (14,1), (10,2), (4,2), (10,1), (1,1)) ((9,1), (2,1), (8,1), (18,2), (7,2)) ((13,2), (4,1), (16,2), (15,2), (8,2)) ((13,1), (5,2), (1,2), (16,1)) "
"OP(19,6,5,3,3,3)",0,Solved,"0,4027","0,2500",false,false,,"0,6784","(\infty, (9,1), (18,1), (0,1), (8,1), (0,2), (2,1), (14,2), (13,1), (17,1), (12,2), (1,2), (18,2), (17,2), (11,1), (15,2), (7,1), (1,1), (6,2)) ((8,2), (5,1), (2,2), (16,2), (14,1), (12,1)) ((3,1), (10,1), (15,1), (5,2), (6,1)) ((4,2), (4,1), (11,2)) ((3,2), (13,2), (9,2)) ((10,2), (7,2), (16,1)) "
"OP(19,6,4,4,3,3)",0,Solved,"0,4027","0,2970",false,false,,"0,7301","(\infty, (3,1), (18,1), (11,2), (14,1), (2,1), (11,1), (2,2), (13,1), (15,1), (16,2), (14,2), (18,2), (0,2), (10,1), (4,2), (16,1), (8,1), (13,2)) ((6,2), (6,1), (5,2), (7,1), (1,1), (0,1)) ((17,1), (12,1), (9,1), (12,2)) ((10,2), (1,2), (5,1), (7,2)) ((3,2), (9,2), (17,2)) ((8,2), (15,2), (4,1)) "
"OP(19,5,5,5,5)",0,Solved,"0,4027","0,0940",false,false,,"0,5302","(\infty, (14,1), (8,1), (4,2), (9,1), (7,1), (16,1), (6,2), (6,1), (1,1), (2,2), (15,2), (10,2), (1,2), (4,1), (17,2), (15,1), (18,1), (5,2)) ((8,2), (0,1), (18,2), (11,1), (3,1)) ((12,1), (13,1), (17,1), (5,1), (16,2)) ((9,2), (12,2), (2,1), (0,2), (11,2)) ((3,2), (7,2), (14,2), (13,2), (10,1)) "
"OP(19,5,5,4,3,3)",0,Solved,"0,4027","0,2340",false,false,,"0,6696","(\infty, (10,1), (14,1), (17,2), (16,1), (13,1), (18,1), (4,2), (7,1), (15,1), (6,2), (9,2), (10,2), (0,2), (1,1), (13,2), (4,1), (17,1), (2,2)) ((16,2), (9,1), (5,2), (11,1), (2,1)) ((12,1), (5,1), (6,1), (8,1), (14,2)) ((15,2), (11,2), (0,1), (8,2)) ((12,2), (18,2), (7,2)) ((3,2), (1,2), (3,1)) "
"OP(19,5,4,4,4,3)",0,Solved,"0,4027","0,2500",false,false,,"0,6766","(\infty, (0,1), (3,1), (7,2), (14,1), (13,2), (16,1), (18,2), (11,1), (6,1), (14,2), (15,2), (0,2), (17,2), (17,1), (3,2), (7,1), (13,1), (8,2)) ((18,1), (9,1), (12,2), (1,2), (10,1)) ((4,1), (8,1), (1,1), (2,1)) ((9,2), (2,2), (5,2), (15,1)) ((11,2), (16,2), (6,2), (5,1)) ((10,2), (4,2), (12,1)) "
"OP(19,5,3,3,3,3,3)",0,Solved,"0,4027","0,9220",false,false,,"1,3473","(\infty, (13,1), (6,1), (17,1), (11,1), (17,2), (0,1), (15,2), (14,1), (10,1), (5,2), (3,2), (9,2), (18,2), (7,1), (12,2), (12,1), (2,1), (14,2)) ((13,2), (5,1), (8,2), (16,2), (9,1)) ((16,1), (18,1), (15,1)) ((3,1), (2,2), (8,1)) ((6,2), (4,1), (1,2)) ((7,2), (4,2), (0,2)) ((10,2), (11,2), (1,1)) "
"OP(19,4,4,4,4,4)",0,Solved,"0,4027","0,1250",false,false,,"0,5651","(\infty, (0,1), (1,1), (1,2), (2,1), (4,2), (3,1), (10,2), (14,1), (4,1), (16,2), (12,2), (17,2), (14,2), (5,1), (9,2), (6,1), (8,1), (0,2)) ((7,1), (15,1), (13,2), (15,2)) ((13,1), (9,1), (12,1), (18,1)) ((11,1), (5,2), (18,2), (6,2)) ((16,1), (2,2), (11,2), (3,2)) ((10,1), (7,2), (8,2), (17,1)) "
"OP(19,4,4,3,3,3,3)",0,Solved,"0,3355","0,3590",false,false,,"0,7914","(\infty, (7,1), (16,1), (1,2), (0,1), (9,2), (12,1), (10,2), (10,1), (3,1), (15,2), (2,2), (0,2), (8,2), (1,1), (9,1), (13,1), (18,1), (7,2)) ((17,2), (4,1), (18,2), (13,2)) ((6,1), (8,1), (11,1), (5,1)) ((14,1), (16,2), (6,2)) ((3,2), (17,1), (4,2)) ((14,2), (11,2), (15,1)) ((12,2), (5,2), (2,1)) "
"OP(18,18,3)",0,Solved,"0,4027","0,1100",false,false,,"0,5442","(\infty, (1,1), (2,1), (18,2), (4,1), (15,2), (6,1), (8,2), (7,1), (13,1), (7,2), (16,2), (2,2), (0,2), (15,1), (8,1), (17,1), (1,2)) ((9,2), (3,2), (16,1), (5,2), (13,2), (14,1), (9,1), (5,1), (3,1), (0,1), (10,2), (14,2), (17,2), (12,1), (12,2), (11,2), (4,2), (11,1)) ((6,2), (10,1), (18,1)) "
"OP(18,17,4)",0,Solved,"0,4027","0,0620",false,false,,"0,4982","(\infty, (0,1), (1,1), (1,2), (2,1), (4,2), (3,1), (11,2), (14,1), (4,1), (14,2), (17,2), (10,2), (18,2), (5,1), (9,2), (6,1), (13,2)) ((0,2), (10,1), (8,1), (6,2), (8,2), (13,1), (7,1), (11,1), (18,1), (15,1), (7,2), (12,2), (2,2), (16,1), (3,2), (16,2), (15,2)) ((9,1), (5,2), (12,1), (17,1)) "
"OP(18,16,5)",0,Solved,"0,4027","0,0470",false,false,,"0,4800","(\infty, (12,1), (1,1), (11,2), (2,1), (1,2), (3,1), (4,2), (4,1), (5,1), (18,2), (16,2), (15,2), (10,2), (7,1), (14,1), (10,1), (5,2)) ((12,2), (9,2), (13,1), (17,2), (2,2), (0,1), (6,1), (8,1), (11,1), (16,1), (3,2), (13,2), (7,2), (15,1), (8,2), (0,2)) ((6,2), (17,1), (14,2), (9,1), (18,1)) "
"OP(18,15,6)",0,Solved,"0,4027","0,0930",false,false,,"0,5277","(\infty, (1,1), (2,1), (16,2), (4,1), (15,2), (6,1), (8,2), (7,1), (13,1), (4,2), (10,2), (2,2), (0,2), (15,1), (8,1), (17,1), (1,2)) ((18,2), (3,2), (16,1), (5,2), (14,2), (14,1), (9,1), (5,1), (3,1), (0,1), (13,2), (12,2), (17,2), (12,1), (11,2)) ((6,2), (9,2), (11,1), (7,2), (10,1), (18,1)) "
"OP(18,15,3,3)",0,Solved,"0,4027","0,0940",false,false,,"0,5294","(\infty, (1,1), (2,1), (18,2), (4,1), (15,2), (6,1), (8,2), (7,1), (13,1), (11,2), (4,2), (9,2), (0,2), (15,1), (8,1), (17,1), (1,2)) ((16,2), (3,2), (16,1), (5,2), (7,2), (14,1), (9,1), (5,1), (3,1), (0,1), (13,2), (14,2), (17,2), (12,1), (12,2)) ((2,2), (10,2), (11,1)) ((6,2), (10,1), (18,1)) "
"OP(18,14,7)",0,Solved,"0,4027","0,0780",false,false,,"0,5148","(\infty, (5,1), (8,1), (3,2), (9,1), (1,2), (11,1), (0,2), (7,1), (17,1), (2,2), (8,2), (16,2), (7,2), (0,1), (1,1), (3,1), (9,2)) ((13,2), (10,2), (13,1), (11,2), (15,2), (12,1), (6,1), (2,1), (16,1), (4,1), (5,2), (12,2), (14,2), (14,1)) ((4,2), (18,2), (17,2), (15,1), (6,2), (10,1), (18,1)) "
"OP(18,14,4,3)",0,Solved,"0,4027","0,0940",false,false,,"0,5295","(\infty, (1,1), (2,1), (18,2), (4,1), (15,2), (6,1), (8,2), (7,1), (13,1), (7,2), (11,2), (14,2), (0,2), (15,1), (8,1), (17,1), (1,2)) ((12,2), (3,2), (16,1), (5,2), (13,2), (14,1), (9,1), (5,1), (3,1), (0,1), (10,2), (16,2), (17,2), (12,1)) ((4,2), (2,2), (9,2), (11,1)) ((6,2), (10,1), (18,1)) "
"OP(18,13,8)",0,Solved,"0,3355","0,0780",false,false,,"0,5032","(\infty, (0,1), (1,1), (1,2), (2,1), (4,2), (3,1), (18,2), (14,1), (4,1), (17,2), (8,2), (11,2), (16,2), (5,1), (13,2), (6,1), (9,2)) ((0,2), (10,1), (8,1), (5,2), (6,2), (13,1), (7,1), (11,1), (18,1), (15,1), (10,2), (14,2), (12,2)) ((9,1), (7,2), (15,2), (2,2), (16,1), (3,2), (12,1), (17,1)) "
"OP(18,13,5,3)",0,Solved,"0,4698","0,0780",false,false,,"0,5360","(\infty, (12,1), (3,1), (2,2), (2,1), (15,2), (1,1), (10,2), (7,1), (13,1), (0,2), (11,2), (18,2), (17,2), (0,1), (1,2), (4,1), (16,2)) ((4,2), (18,1), (16,1), (7,2), (13,2), (5,1), (8,1), (15,1), (14,1), (10,1), (14,2), (9,2), (6,2)) ((11,1), (3,2), (12,2), (8,2), (6,1)) ((5,2), (17,1), (9,1)) "
"OP(18,13,4,4)",0,Solved,"0,3355","0,0780",false,false,,"0,5027","(\infty, (0,1), (1,1), (1,2), (2,1), (4,2), (3,1), (11,2), (14,1), (4,1), (14,2), (17,2), (12,2), (18,2), (5,1), (9,2), (6,1), (13,2)) ((0,2), (10,1), (8,1), (6,2), (8,2), (13,1), (7,1), (11,1), (18,1), (15,1), (7,2), (16,2), (15,2)) ((16,1), (2,2), (10,2), (3,2)) ((9,1), (5,2), (12,1), (17,1)) "
"OP(18,12,9)",0,Solved,"0,4027","0,0470",false,false,,"0,4696","(\infty, (11,1), (17,1), (1,2), (12,1), (4,2), (3,1), (3,2), (1,1), (0,1), (16,2), (17,2), (14,2), (8,2), (13,1), (18,1), (9,1), (15,2)) ((0,2), (12,2), (5,1), (18,2), (7,2), (8,1), (15,1), (7,1), (10,1), (14,1), (5,2), (10,2)) ((6,2), (16,1), (9,2), (13,2), (11,2), (6,1), (2,2), (4,1), (2,1)) "
"OP(18,12,6,3)",0,Solved,"0,4027","0,1720",false,false,,"0,6221","(\infty, (11,1), (3,1), (16,2), (8,1), (1,2), (18,1), (3,2), (13,1), (4,1), (18,2), (10,2), (11,2), (13,2), (17,1), (15,1), (14,1), (5,2)) ((8,2), (17,2), (1,1), (2,2), (14,2), (7,1), (10,1), (5,1), (9,1), (2,1), (7,2), (12,2)) ((0,2), (0,1), (6,2), (9,2), (15,2), (16,1)) ((4,2), (12,1), (6,1)) "
"OP(18,12,5,4)",0,Solved,"0,4027","0,0780",false,false,,"0,5256","(\infty, (5,1), (11,1), (0,2), (1,1), (3,2), (3,1), (9,2), (4,1), (13,1), (7,2), (16,2), (2,2), (6,2), (15,1), (10,2), (17,1), (13,2)) ((5,2), (2,1), (10,1), (17,2), (11,2), (14,1), (9,1), (6,1), (8,1), (12,1), (4,2), (12,2)) ((1,2), (16,1), (14,2), (15,2), (18,2)) ((7,1), (8,2), (18,1), (0,1)) "
"OP(18,12,3,3,3)",0,Solved,"0,4027","0,0940",false,false,,"0,5501","(\infty, (0,1), (10,1), (3,2), (2,1), (4,2), (16,1), (5,2), (9,1), (7,1), (16,2), (17,2), (11,2), (13,2), (3,1), (14,1), (13,1), (8,2)) ((15,2), (12,2), (6,1), (10,2), (18,2), (5,1), (17,1), (11,1), (8,1), (12,1), (9,2), (0,2)) ((6,2), (1,1), (1,2)) ((7,2), (14,2), (15,1)) ((2,2), (4,1), (18,1)) "
"OP(18,11,10)",0,Solved,"0,4027","0,0620",false,false,,"0,4937","(\infty, (12,1), (1,1), (11,2), (2,1), (1,2), (3,1), (4,2), (4,1), (5,1), (13,2), (17,2), (16,2), (10,2), (7,1), (14,1), (10,1), (14,2)) ((8,2), (6,2), (13,1), (18,2), (2,2), (0,1), (6,1), (8,1), (11,1), (16,1), (3,2)) ((15,2), (7,2), (15,1), (9,2), (0,2), (12,2), (17,1), (5,2), (9,1), (18,1)) "
"OP(18,11,7,3)",0,Solved,"0,4027","0,0790",false,false,,"0,5121","(\infty, (8,1), (6,1), (2,2), (7,1), (16,2), (9,1), (13,2), (5,1), (13,1), (14,2), (7,2), (11,2), (12,2), (18,1), (11,1), (2,1), (1,2)) ((9,2), (3,2), (1,1), (18,2), (10,2), (0,1), (16,1), (15,1), (10,1), (14,1), (6,2)) ((5,2), (0,2), (3,1), (8,2), (17,2), (15,2), (12,1)) ((4,2), (17,1), (4,1)) "
"OP(18,11,6,4)",0,Solved,"0,4027","0,0780",false,false,,"0,5023","(\infty, (0,1), (1,1), (1,2), (2,1), (4,2), (3,1), (10,2), (14,1), (4,1), (18,2), (12,2), (13,2), (15,2), (5,1), (9,2), (6,1), (17,2)) ((0,2), (10,1), (8,1), (16,2), (11,2), (13,1), (7,1), (11,1), (18,1), (15,1), (8,2)) ((5,2), (2,2), (16,1), (3,2), (7,2), (14,2)) ((9,1), (6,2), (12,1), (17,1)) "
"OP(18,11,5,5)",0,Solved,"0,4027","0,0470",false,false,,"0,4698","(\infty, (1,1), (2,1), (6,2), (6,1), (13,2), (0,1), (15,2), (7,1), (3,1), (12,2), (3,2), (9,2), (7,2), (8,1), (11,1), (16,1), (0,2)) ((17,2), (5,2), (10,1), (8,2), (11,2), (14,1), (12,1), (4,1), (17,1), (5,1), (16,2)) ((10,2), (14,2), (13,1), (4,2), (18,2)) ((1,2), (15,1), (2,2), (9,1), (18,1)) "
"OP(18,11,4,3,3)",0,Solved,"0,4027","0,2190",false,false,,"0,6488","(\infty, (6,1), (17,1), (2,2), (2,1), (1,2), (9,1), (17,2), (3,1), (13,1), (18,2), (11,2), (0,2), (3,2), (1,1), (8,1), (5,1), (15,2)) ((8,2), (4,2), (7,1), (5,2), (10,2), (14,1), (12,1), (16,1), (10,1), (15,1), (9,2)) ((7,2), (16,2), (4,1), (13,2)) ((12,2), (14,2), (11,1)) ((6,2), (0,1), (18,1)) "
"OP(18,10,8,3)",0,Solved,"0,4027","0,2500",false,false,,"0,6917","(\infty, (3,1), (2,1), (0,2), (7,1), (2,2), (5,1), (1,2), (9,1), (4,1), (12,2), (14,2), (10,2), (7,2), (6,1), (12,1), (14,1), (8,2)) ((9,2), (15,2), (15,1), (17,2), (18,2), (11,1), (8,1), (1,1), (10,1), (18,1)) ((5,2), (13,2), (3,2), (16,1), (6,2), (11,2), (4,2), (0,1)) ((16,2), (13,1), (17,1)) "
"OP(18,10,7,4)",0,Solved,"0,4027","0,0470",false,false,,"0,4712","(\infty, (1,1), (2,1), (0,2), (4,1), (3,2), (10,1), (10,2), (15,1), (8,1), (17,2), (14,2), (9,2), (18,2), (13,1), (15,2), (11,1), (2,2)) ((6,2), (3,1), (0,1), (1,2), (7,2), (18,1), (12,1), (7,1), (5,1), (9,1)) ((13,2), (11,2), (4,2), (17,1), (5,2), (16,2), (12,2)) ((16,1), (8,2), (14,1), (6,1)) "
"OP(18,10,6,5)",0,Solved,"0,4027","0,0310",false,false,,"0,4623","(\infty, (1,1), (2,1), (6,2), (6,1), (13,2), (0,1), (15,2), (7,1), (3,1), (12,2), (3,2), (9,2), (7,2), (8,1), (11,1), (16,1), (0,2)) ((16,2), (5,2), (10,1), (8,2), (11,2), (14,1), (12,1), (4,1), (17,1), (5,1)) ((17,2), (10,2), (14,2), (13,1), (4,2), (18,2)) ((1,2), (15,1), (2,2), (9,1), (18,1)) "
